name, release date
1.0.0-incubating,2012-08-06 0
1.0.1-incubating,2012-08-29 1
1.0.3-incubating,2012-09-30 3
1.0.2-incubating,2012-10-02 2
1.0.4,2012-12-10 4
1.0.5,2013-01-23 5
1.0.6,2013-02-27 6
1.0.7,2013-03-26 7
1.1.0,2013-04-05 10
1.0.8,2013-04-18 8
1.1.1,2013-04-29 11
1.1.2,2013-06-11 12
1.1.3,2013-07-12 13
1.1.4,2013-09-27 14
1.1.5,2013-11-28 15
1.1.6,2014-02-22 16
1.1.7,2014-04-11 17
1.0.9,2014-04-11 9
1.1.8,2014-07-03 18
1.2.0-M1,2014-09-08 19
1.2.0,2014-10-03 20
1.2.1,2014-11-17 21
1.2.2,2015-01-30 22
1.2.3,2015-03-20 23
1.2.4,2015-05-05 24
1.2.5,2015-07-28 25
1.2.6,2015-11-05 26
2.0.0-M1,2015-12-23 32
1.2.7,2016-01-15 27
2.0.0-M2,2016-03-21 33
1.2.8,2016-06-03 28
2.0.0-M3,2016-06-03 34
2.0.0-M4,2016-06-24 35
2.0.0.M5,2016-09-02 36
2.0.0,2016-09-09 37
1.2.9,2016-10-07 29
2.0.1,2016-10-21 38
1.2.10,2017-01-24 30
2.0.2,2017-01-27 39
2.0.3,2017-04-15 40
2.0.4,2017-07-03 41
2.0.5,2017-09-06 42
2.0.6,2017-10-09 43
2.0.7,2017-12-22 44
1.2.11,2018-03-13 31
2.0.8,2018-03-13 45
2.0.9,2018-06-28 46
2.1.0,2018-07-05 54
2.0.10,2018-08-17 47
2.1.1,2018-08-17 55
2.0.11,2018-11-02 48
2.1.2,2018-11-02 56
2.0.12,2019-01-17 49
2.1.3,2019-01-17 57
2.0.13,2019-04-19 50
2.1.4,2019-04-19 58
2.0.14,2019-09-12 51
2.1.5,2019-09-12 59
2.0.15,2020-04-29 52
2.1.6,2020-04-29 60
2.0.16,2020-09-11 53
2.1.7,2020-09-11 61
2.1.8,2020-12-18 62
2.1.9,2021-04-07 63
2.1.10,2021-10-08 64
2.1.11,2022-03-18 65
